Part Name: ,Purpose:,Price:,link:
XIAO RP2040,"A simple, power efficient mcu to handle graphics and display",9.99 (already have),https://www.amazon.com/Microcontroller-Dual-Core-MicroPython-CircuitPython-Interfaces/dp/B09NNVNW7M?th=1
Waveshare 2.13in 3 color eink module,A colorful little display for showing off the goods!,21.11,https://www.amazon.com/waveshare-2-13inch-HAT-Resolution-Raspberry/dp/B07Q22WDB9/ref=sr_1_5?crid=1Q0TJRR05GKO0&dib=eyJ2IjoiMSJ9.4ztSSIJhCJLJ0SRHfvh0ktHf70flXHRP3fUsrLz7dpeVY2qqeHKTpMmkOlqc6TxTphFK9cP5wp3_e1evBMl-lCKolN7VPxWSbVDLNUiuA7659qIdearzYyW3gysJWBdAb4bPRP-3YIslyWtYafw7x5NhhQr5daDlM960gmSC7sCbpVSAfoHTAfwLITZ8BTlDyIUMxOHuZisBN55SuoVX7UAidZpwgpMfdAgtqZxGVAk.1Ddf8B6KPaHAygVFxrSotc8Jeojy9QROavj7svzvGX0&dib_tag=se&keywords=eink%2B4%2Bcolor&qid=1761323163&sprefix=eink%2B4%2Bcol%2Caps%2C154&sr=8-5&th=1
